name,description,x_mitre_platforms,x_mitre_domains,x_mitre_aliases,type,id
Mythic,"[Mythic](https://attack.mitre.org/software/S0699) is an open source, cross-platform post-exploitation/command and control platform. [Mythic](https://attack.mitre.org/software/S0699) is designed to ""plug-n-play"" with various agents and communication channels.(Citation: Mythic Github)(Citation: Mythic SpecterOps)(Citation: Mythc Documentation) Deployed [Mythic](https://attack.mitre.org/software/S0699) C2 servers have been observed as part of potentially malicious infrastructure.(Citation: RecordedFuture 2021 Ad Infra)","['Windows', 'Linux', 'macOS']",['enterprise-attack'],['Mythic'],tool,tool--d505fc8b-2e64-46eb-96d6-9ef7ffca5b66
HTRAN,[HTRAN](https://attack.mitre.org/software/S0040) is a tool that proxies connections through intermediate hops and aids users in disguising their true geographical location. It can be used by adversaries to hide their location when interacting with the victim networks. (Citation: Operation Quantum Entanglement)(Citation: NCSC Joint Report Public Tools),"['Linux', 'Windows']",['enterprise-attack'],"['HTRAN', 'HUC Packet Transmit Tool']",tool,tool--d5e96a35-7b0b-4c6a-9533-d63ecbda563e
SDelete,[SDelete](https://attack.mitre.org/software/S0195) is an application that securely deletes data in a way that makes it unrecoverable. It is part of the Microsoft Sysinternals suite of tools. (Citation: Microsoft SDelete July 2016),['Windows'],['enterprise-attack'],['SDelete'],tool,tool--d8d19e33-94fd-4aa3-b94a-08ee801a2153
QuasarRAT,"[QuasarRAT](https://attack.mitre.org/software/S0262) is an open-source, remote access tool that has been publicly available on GitHub since at least 2014. [QuasarRAT](https://attack.mitre.org/software/S0262) is developed in the C# language.(Citation: GitHub QuasarRAT)(Citation: Volexity Patchwork June 2018)",['Windows'],['enterprise-attack'],"['QuasarRAT', 'xRAT']",tool,tool--da04ac30-27da-4959-a67d-450ce47d9470
Rubeus,"[Rubeus](https://attack.mitre.org/software/S1071) is a C# toolset designed for raw Kerberos interaction that has been used since at least 2020, including in ransomware operations.(Citation: GitHub Rubeus March 2023)(Citation: FireEye KEGTAP SINGLEMALT October 2020)(Citation: DFIR Ryuk's Return October 2020)(Citation: DFIR Ryuk 2 Hour Speed Run November 2020)",['Windows'],['enterprise-attack'],['Rubeus'],tool,tool--e33267fe-099f-4af2-8730-63d49f8813b2
Tor,"[Tor](https://attack.mitre.org/software/S0183) is a software suite and network that provides increased anonymity on the Internet. It creates a multi-hop proxy network and utilizes multilayer encryption to protect both the message and routing information. [Tor](https://attack.mitre.org/software/S0183) utilizes ""Onion Routing,"" in which messages are encrypted with multiple layers of encryption; at each step in the proxy network, the topmost layer is decrypted and the contents forwarded on to the next node until it reaches its destination. (Citation: Dingledine Tor The Second-Generation Onion Router)","['Linux', 'Windows', 'macOS']",['enterprise-attack'],['Tor'],tool,tool--ed7d0cb1-87a6-43b4-9f46-ef1bc56d6c68
AdFind,[AdFind](https://attack.mitre.org/software/S0552) is a free command-line query tool that can be used for gathering information from Active Directory.(Citation: Red Canary Hospital Thwarted Ryuk October 2020)(Citation: FireEye FIN6 Apr 2019)(Citation: FireEye Ryuk and Trickbot January 2019),['Windows'],['enterprise-attack'],['AdFind'],tool,tool--f59508a6-3615-47c3-b493-6676e1a39a87
Wevtutil,[Wevtutil](https://attack.mitre.org/software/S0645) is a Windows command-line utility that enables administrators to retrieve information about event logs and publishers.(Citation: Wevtutil Microsoft Documentation),['Windows'],['enterprise-attack'],['Wevtutil'],tool,tool--f91162cc-1686-4ff8-8115-bf3f61a4cc7a
Havij,[Havij](https://attack.mitre.org/software/S0224) is an automatic SQL Injection tool distributed by the Iranian ITSecTeam security company. Havij has been used by penetration testers and adversaries. (Citation: Check Point Havij Analysis),,['enterprise-attack'],,tool,tool--fbd727ea-c0dc-42a9-8448-9e12962d1ab5
PsExec,[PsExec](https://attack.mitre.org/software/S0029) is a free Microsoft tool that can be used to execute a program on another computer. It is used by IT administrators and attackers.(Citation: Russinovich Sysinternals)(Citation: SANS PsExec),['Windows'],['enterprise-attack'],['PsExec'],tool,tool--ff6caf67-ea1f-4895-b80e-4bb0fc31c6db
Cobalt Strike,"[Cobalt Strike](https://attack.mitre.org/software/S0154) is a commercial, full-featured, penetration testing tool which bills itself as “adversary simulation software designed to execute targeted attacks and emulate the post-exploitation actions of advanced threat actors”. Cobalt Strike’s interactive post-exploit capabilities cover the full range of ATT&CK tactics, all executed within a single, integrated system. (Citation: cobaltstrike manual)

In addition to its own capabilities, [Cobalt Strike](https://attack.mitre.org/software/S0154) leverages the capabilities of other well-known tools such as Metasploit and [Mimikatz](https://attack.mitre.org/software/S0002). (Citation: cobaltstrike manual)",['Windows'],['enterprise-attack'],['Cobalt Strike'],tool,tool--aafea02e-ece5-4bb2-91a6-3bf8c7f38a39
